DefaultSC.A1ModJulian     DefaultSC.ElapsedSecs     DefaultSC.EarthMJ2000Eq.X   DefaultSC.EarthMJ2000Eq.Y   DefaultSC.EarthMJ2000Eq.Z   DefaultSC.EarthMJ2000Eq.VX   DefaultSC.EarthMJ2000Eq.VY   DefaultSC.EarthMJ2000Eq.VZ   
31257.68280612244         1357.414610066917         -118.4845521535376          6394.195319142509           1710.66824334647            -7.761722589104206           -0.1459488561933169          -0.04390535225393414         
31257.68290914193         1366.315494070295         -187.5629658546376          6392.547946433238           1710.18398504538            -7.75983410920611            -0.2242078236523747          -0.06490512445533402         
31257.68303865831         1377.505709161051         -274.3784294573379          6389.488653814521           1709.310004637083           -7.756260134491122           -0.3225653563115336          -0.091297313261962           
31257.6831876026          1390.374496229924         -374.156910371198           6384.610138281033           1707.939917733631           -7.750498364682826           -0.4356152253049441          -0.1216308042655518          
31257.68333399407         1403.022718650755         -472.1420379795319          6378.39814585204            1706.213087143403           -7.743114559551088           -0.5466393925846191          -0.1514196141932111          
31257.68347107332         1414.866365748458         -563.8001331693356          6371.308789893358           1704.254680930814           -7.734655063117528           -0.6505001708942736          -0.1792853718504157          
31257.68360377625         1426.33189932676          -652.4283139096203          6363.274586888201           1702.044577369584           -7.72504318521437            -0.7509328355510401          -0.2062303861037021          
31257.68372787755         1437.05425177468          -735.2050696154083          6354.719799735818           1699.698351405345           -7.71478944594524            -0.8447393531844317          -0.2313967856028353          
31257.6838515067          1447.735810023732         -817.5510817146388          6345.198131209916           1697.092929878024           -7.703360638195328           -0.9380622071008874          -0.2564325588055229          
31257.68398573223         1459.332895581611         -906.8090974226426          6333.732585296802           1693.961654373125           -7.689582150417852           -1.039223523320262           -0.2835701628353276          
31257.68408054009         1467.524294648319         -969.7546413887468          6324.927625824498           1691.560417071762           -7.678991601736647           -1.11056657881258            -0.3027080645555927          
31257.68417671081         1475.833445414901         -1033.513402316881          6315.399447050213           1688.96461233822            -7.66752383625639            -1.182834056060123           -0.3220933994631716          
31257.68427836468         1484.616339777131         -1100.800337397379          6304.675715324587           1686.045833657759           -7.654609575236634           -1.259103527975963           -0.3425516429600164          
31257.68438517638         1493.844870489556         -1171.375171145153          6292.686786584736           1682.78554077076            -7.640163749530522           -1.339103127429774           -0.3640097656885912          
31257.68448975309         1502.880298497621         -1240.340145242325          6280.234117619128           1679.401794645793           -7.625151698963072           -1.417281173726214           -0.384978616851362           
31257.68459928558         1512.34390513273          -1312.423571728372          6266.434721122293           1675.654762806319           -7.60850862102046            -1.498997768415301           -0.4068958434956827          
31257.68471785441         1522.588252101559         -1390.271010346137          6250.626225033643           1671.365088061664           -7.589434168030911           -1.58725271775779            -0.4305658693454372          
31257.68483974937         1533.119976497255         -1470.092567400638          6233.432956971542           1666.702623832305           -7.568680322853186           -1.677750099863881           -0.4548363778676168          
31257.68497150729         1544.503861328121         -1556.119739357275          6213.778176538724           1661.375853334664           -7.544945913632772           -1.775288090835578           -0.4809940218556473          
31257.6850926716          1554.972457734402         -1634.985253283769          6194.725102663693           1656.214937424297           -7.521929956416795           -1.864710769824051           -0.5049742979033724          
31257.68521084644         1565.182764013298         -1711.667190844352          6175.241707534247           1650.939898676966           -7.498386959680723           -1.951661831241354           -0.5282908184791901          
31257.68529663259         1572.59468663251          -1767.179163716331          6160.542765235517           1646.961668581025           -7.48062101322772            -2.014610517478134           -0.545170344461077           
31257.68538097046         1579.881478857715         -1821.623579704779          6145.63768322616            1642.928784835915           -7.462602489083114           -2.076350795320602           -0.5617253462373863          
31257.68545759474         1586.501816427335         -1870.97301888878           6131.706219404668           1639.160282843753           -7.445758078210504           -2.132315202226569           -0.5767311817142946          
31257.68554301402         1593.882042251062         -1925.8534866311            6115.73948550207            1634.842270343974           -7.426449673380151           -2.194554125630921           -0.5934189297899671          
31257.6856325682          1601.619523856789         -1983.235267755507          6098.507276606303           1630.183167195741           -7.405607425509505           -2.259632108437171           -0.6108673437583245          
31257.68571765198         1608.970762649551         -2037.60112564591           6081.669441229831           1625.631744569399           -7.385238900261602           -2.321291908028473           -0.6273987591624964          
31257.68580211535         1616.268397390377         -2091.420465806795          6064.506665621276           1620.993475529346           -7.36447420633644            -2.382334029375908           -0.6437640540173326          
31257.68588535485         1623.460290336516         -2144.309799881483          6047.157354128001           1616.305733848375           -7.343480865890938           -2.442323441503571           -0.6598466104533275          
31257.68596596921         1630.42537055444          -2195.385471725306          6029.944523254381           1611.655736155318           -7.322649914276566           -2.500257711741003           -0.6753777179461764          
31257.68604470117         1637.227812409401         -2245.126832198698          6012.744669051804           1607.010049107879           -7.301832086985519           -2.556680387996295           -0.6905031288906366          
31257.68611022061         1642.88869217271          -2286.411735433435          5998.139001572326           1603.065646322601           -7.28415221541615            -2.603512151605452           -0.7030571182697561          
31257.68616296072         1647.445437661372         -2319.570884842478          5986.189729600327           1599.839013229922           -7.269686609916644           -2.641127360822268           -0.7131402298890146          
31257.68622043261         1652.411009010393         -2355.629407018531          5972.97342809376            1596.270631492186           -7.253685902394581           -2.682032526773397           -0.7241050044443498          
31257.68628793496         1658.243211521767         -2397.878816482261          5957.191442787378           1592.010023721999           -7.234577315059065           -2.729961970657791           -0.7369523384152482          
31257.68635231419         1663.805577624589         -2438.068760648791          5941.879535044215           1587.87682141088            -7.216036236652537           -2.775556351255265           -0.7491734385115281          
31257.68641651971         1669.352933939081         -2478.046685333074          5926.356680908228           1583.687156268788           -7.197238132020204           -2.820911443034347           -0.76133007869146            
31257.68649525228         1676.155428600032         -2526.926296543318          5906.978725446465           1578.45763048182            -7.17376936449027            -2.876367218844494           -0.7761935897328036          
31257.68656869539         1682.500912877731         -2572.37677901926           5888.563089524754           1573.488433700468           -7.151463950398747           -2.927934194684735           -0.7900143650714567          
31257.6866376598          1688.459438004065         -2614.925650449028          5870.973021319386           1568.742547067513           -7.1301566390322             -2.976210547459025           -0.8029528091788334          
31257.68670863792         1694.591947551817         -2658.583233370428          5852.569413329724           1563.777703584797           -7.107862018157249           -3.025746341700131           -0.8162283942423196          
31257.68678419304         1701.119909842964         -2704.904529322863          5832.645804927452           1558.403394343845           -7.083723985572402           -3.078306155716488           -0.830313967341784           
31257.68685461108         1707.204028673004         -2747.933353007174          5813.768414832301           1553.311840478297           -7.06085159623693            -3.127131604200724           -0.8433983427290157          
31257.68692952319         1713.676434662193         -2793.554244278114          5793.360719821952           1547.808103340847           -7.036123068957892           -3.17889993314806            -0.8572709102613359          
31257.68703567918         1722.848312091082         -2857.925427061878          5763.868963731616           1539.855477440805           -7.000383684201386           -3.251948022752055           -0.8768451010083194          
31257.68713907085         1731.781352427788         -2920.301741688827          5734.502740678146           1531.937793896158           -6.964792550108476           -3.322735559700424           -0.8958126356445455          
31257.68723827486         1740.352578694001         -2979.849611622878          5705.732957462104           1524.181914810023           -6.929920726875755           -3.390316219932326           -0.9139200311986075          
31257.68733012185         1748.288158827927         -3034.712358048996          5678.581578166535           1516.863183256448           -6.897007490466326           -3.452582340341587           -0.9306027061104842          
31257.68742878449         1756.81261124555          -3093.352516952104          5648.866281643948           1508.854237567392           -6.86098297002667            -3.519138376948903           -0.9484339396307455          
31257.68752912809         1765.482298051938         -3152.673717078535          5618.064317775147           1500.553348383318           -6.823637607877495           -3.586470319054103           -0.9664721685636564          
31257.68762623759         1773.87255881913          -3209.771827543329          5587.700760378652           1492.371492569183           -6.786820496763712           -3.651281770007778           -0.9838343031639262          
31257.68770381471         1780.575221870095         -3255.161671501528          5563.054651477996           1485.730894308034           -6.75693373073823            -3.702805270695028           -0.9976361599648054          
